Taxon	0.0_1_Bulk	0.0_1_Rhizo	0.0_2_Bulk	0.0_2_Rhizo	0.0_3_Rhizo	0.0_4_Rhizo	0.0_5_Bulk	0.0_5_Rhizo	0.0_6_Bulk	0.0_6_Rhizo	0.CEN_1_Bulk	0.CEN_1_Rhizo	0.CEN_2_Bulk	0.CEN_2_Rhizo	0.CEN_3_Bulk	0.CEN_3_Rhizo	0.CEN_4_Bulk	0.CEN_4_Rhizo	0.CEN_5_Bulk	0.CEN_5_Rhizo	0.CEN_6_Bulk	0.CEN_6_Rhizo	0.CE_1_Bulk	0.CE_1_Rhizo	0.CE_2_Bulk	0.CE_2_Rhizo	0.CE_3_Bulk	0.CE_3_Rhizo	0.CE_4_Bulk	0.CE_4_Rhizo	0.CE_5_Rhizo	0.CE_6_Bulk	0.CE_6_Rhizo	0.CN_1_Bulk	0.CN_1_Rhizo	0.CN_2_Bulk	0.CN_2_Rhizo	0.CN_3_Bulk	0.CN_3_Rhizo	0.CN_4_Bulk	0.CN_4_Rhizo	0.CN_5_Bulk	0.CN_5_Rhizo	0.CN_6_Bulk	0.CN_6_Rhizo	0.C_1_Bulk	0.C_2_Bulk	0.C_2_Rhizo	0.C_3_Bulk	0.C_3_Rhizo	0.C_4_Bulk	0.C_4_Rhizo	0.C_5_Bulk	0.C_5_Rhizo	0.C_6_Rhizo	0.EN_1_Rhizo	0.EN_2_Bulk	0.EN_2_Rhizo	0.EN_3_Rhizo	0.EN_4_Bulk	0.EN_4_Rhizo	0.EN_5_Rhizo	0.EN_6_Bulk	0.EN_6_Rhizo	0.E_1_Bulk	0.E_1_Rhizo	0.E_2_Bulk	0.E_2_Rhizo	0.E_3_Bulk	0.E_3_Rhizo	0.E_4_Bulk	0.E_4_Rhizo	0.E_5_Bulk	0.E_5_Rhizo	0.E_6_Bulk	0.E_6_Rhizo	0.N_1_Bulk	0.N_1_Rhizo	0.N_2_Bulk	0.N_2_Rhizo	0.N_3_Bulk	0.N_3_Rhizo	0.N_4_Bulk	0.N_4_Rhizo	0.N_5_Bulk	0.N_5_Rhizo	0.N_6_Bulk	0.N_6_Rhizo	PHE.0_1_Bulk	PHE.0_1_Rhizo	PHE.0_2_Bulk	PHE.0_2_Rhizo	PHE.0_3_Bulk	PHE.0_3_Rhizo	PHE.0_4_Bulk	PHE.0_4_Rhizo	PHE.0_5_Bulk	PHE.0_5_Rhizo	PHE.0_6_Bulk	PHE.0_6_Rhizo	PHE.CEN_1_Bulk	PHE.CEN_1_Rhizo	PHE.CEN_2_Bulk	PHE.CEN_2_Rhizo	PHE.CEN_3_Bulk	PHE.CEN_3_Rhizo	PHE.CEN_4_Bulk	PHE.CEN_4_Rhizo	PHE.CEN_5_Bulk	PHE.CEN_5_Rhizo	PHE.CEN_6_Bulk	PHE.CEN_6_Rhizo	PHE.CE_1_Bulk	PHE.CE_1_Rhizo	PHE.CE_2_Bulk	PHE.CE_2_Rhizo	PHE.CE_3_Bulk	PHE.CE_3_Rhizo	PHE.CE_4_Bulk	PHE.CE_4_Rhizo	PHE.CE_5_Bulk	PHE.CE_5_Rhizo	PHE.CE_6_Bulk	PHE.CE_6_Rhizo	PHE.CN_1_Bulk	PHE.CN_1_Rhizo	PHE.CN_2_Bulk	PHE.CN_2_Rhizo	PHE.CN_3_Bulk	PHE.CN_3_Rhizo	PHE.CN_4_Bulk	PHE.CN_4_Rhizo	PHE.CN_5_Bulk	PHE.CN_5_Rhizo	PHE.CN_6_Bulk	PHE.CN_6_Rhizo	PHE.C_1_Bulk	PHE.C_1_Rhizo	PHE.C_2_Rhizo	PHE.C_3_Bulk	PHE.C_3_Rhizo	PHE.C_4_Bulk	PHE.C_4_Rhizo	PHE.C_5_Bulk	PHE.C_5_Rhizo	PHE.C_6_Bulk	PHE.C_6_Rhizo	PHE.EN_1_Bulk	PHE.EN_1_Rhizo	PHE.EN_2_Bulk	PHE.EN_2_Rhizo	PHE.EN_3_Bulk	PHE.EN_3_Rhizo	PHE.EN_4_Bulk	PHE.EN_4_Rhizo	PHE.EN_5_Bulk	PHE.EN_5_Rhizo	PHE.EN_6_Bulk	PHE.EN_6_Rhizo	PHE.E_1_Bulk	PHE.E_1_Rhizo	PHE.E_2_Bulk	PHE.E_2_Rhizo	PHE.E_3_Bulk	PHE.E_3_Rhizo	PHE.E_4_Bulk	PHE.E_4_Rhizo	PHE.E_5_Bulk	PHE.E_5_Rhizo	PHE.E_6_Bulk	PHE.E_6_Rhizo	PHE.N_1_Bulk	PHE.N_1_Rhizo	PHE.N_2_Bulk	PHE.N_2_Rhizo	PHE.N_3_Bulk	PHE.N_3_Rhizo	PHE.N_4_Bulk	PHE.N_4_Rhizo	PHE.N_5_Bulk	PHE.N_5_Rhizo	PHE.N_6_Bulk	PHE.N_6_Rhizo
k__Bacteria;Other;Other;Other;Other;Other	0	0	0	0	0.006562372	0.00205726	0.003421268	0.003435583	0	0.041613497	0	0	0	0	0	0	0	0	0.03502454	0.054333333	0	0.002584867	0	0	0	0	0	0	0.045114519	0	0.001629857	0	0	0.008762781	0	0.094411043	0.001145194	0	0	0	0.008903885	0	0	0.058588957	0	0.013034765	0	0	0.07197955	0.046325153	0	0	0.001883436	0	0.001079755	0	0	0	0.132501022	0	0.004482618	0.000314928	0.041335378	0	0	0	0	0	0.144546012	0	0	0	0	0	0	0	0	0.00101227	0	0	0	0	0	0	0	0.003137014	0.016474438	0.016186094	0	0	0	0.007640082	0	0.001190184	0.009509202	0	0	0	0	0	0	0	0	0	0	0	0	0.005271984	0	0	0	0.000539877	0	0	0	0	0	0	0	0.005042945	0.00196728	0	0.004670757	0	0	0	0	0	0	0	0	0.000337423	0	0	0	0	0	0.009560327	0	0	0	0.091848671	0	0	0	0	0	0	0	0	0	0	0.001116564	0	0	0.024642127	0	0	0	0	0	0.000398773	0.002828221	0	0	0.002002045	0	0	0	0.001533742	0	0.001856851	0.00207771	0	0	0	0	0	0	0.005382413	0	0	0
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000689162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19497955	0	0	0	0	0	0	0.228149284	0.004621677	0	0	0	0	0	0	0	0	0	0	0	0.270286299	0.21592229	0	0	0	0	0.003478528	0	0	0	0	0	0	0	0.182899796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001791411	0	0	0	0	0	0	0	0	0.095308793	0.023852761	0	0	0	0.042889571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024235174	0	0	0	0	0	0	0	0	0	0	0	0	0.002730061	0	0	0	0	0.001511247	0	0	0	0	0	0	0	0	0	0	0	0.02207771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059826176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008820041	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus	0	0	0.00394683	0	0.00291411	0.001124744	0.042783231	0.00292229	0.001558282	0.067725971	0.002893661	0	0	0	0	0	0	0	0.034781186	0.020633947	0	0	0	0	0	0	0	0	0.000595092	0	0	0	0	0	0	0	0	0	0	0	0.00690184	0	0.002750511	0.132134969	0.078274029	0.118055215	0	0	0	0	0	0	0.001323108	0.003897751	0.002640082	0	0	0	0.066615542	0	0	0	0	0	0.001662577	0	0	0	0.066805726	0	0	0	0	0	0	0	0	0.00197955	0	0	0	0.001885481	0.000554192	0	0	0	0	0.004680982	0	0	0	0	0.007343558	0	0	0	0	0.003145194	0	0	0	0	0.001674847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012856851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000672802	0	0	0	0.083750511	0	0	0	0.00292638	0	0	0	0	0	0	0	0	0	0.000204499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212679	0	0	0	0	0	0	0	0.003830266	0	0	0
k__Bacteria;p__Proteobacteria;Other;Other;Other;Other	0	0	0.002728016	0	0.003124744	0	0.019169734	0.003341513	0.002139059	0.062079755	0	0.004627812	0	0	0.001349693	0	0	0	0.012711656	0.029100204	0.001153374	0	0	0	0	0	0.001734151	0	0.083965235	0.002218814	0	0	0	0	0	0.093803681	0.003844581	0	0.003186094	0	0	0.002251534	0	0.117680982	0	0.021292434	0	0	0.111952965	0.094920245	0.002552147	0	0.003337423	0	0.006165644	0	0	0	0.061417178	0	0.004723926	0	0.075580777	0	0	0	0	0	0.179022495	0	0	0	0	0.022108384	0	0	0	0.001903885	0	0.0090818	0	0	0	0	0	0	0.041507157	0.008374233	0	0	0	0.015370143	0.001775051	0.002779141	0.009408998	0	0	0	0	0	0	0	0	0	0	0	0	0.010527607	0	0	0	0	0	0.000182004	0	0	0	0.000458078	0.000791411	0	0.002173824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009685072	0	0	0	0.088337423	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023445808	0	0	0	0	0	0	0.000574642	0	0.001128834	0	0.000756646	0	0	0	0	0.001441718	0.003047035	0	0	0	0	0	0	0.001674847	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030687117	0	0	0	0	0	0	0.000245399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041799591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000233129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other;Other	0	0	0	0	0	0	0	0.002112474	0	0	0	0	0	0	0	0.027329243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002445808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003222904	0	0	0	0	0	0	0	0	0.003492843	0.000531697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__Martelella	0	0	0.022860941	0.002366053	0.015678937	0.006179959	0.012750511	0.022382413	0.008153374	0.103550102	0.004413088	0	0.001766871	0.002854806	0.001803681	0.034961145	0	0.000229039	0.02495501	0.123259714	0	0	0.011018405	0	0.003087935	0.005335378	0.003564417	0	0.00091002	0.000188139	0.045668712	0.00393456	0	0.011762781	0	0.004601227	0.001883436	0	0.002421268	0	0.013977505	0.005456033	0.002948875	0.227141104	0.028625767	0.239327198	0	0	0	0	0	0.002051125	0.007824131	0.012335378	0.019513292	0	0.006331288	0	0.269437628	0.035460123	0	0.000834356	0.002263804	0.011353783	0.001770961	0.002231084	0.001292434	0	0.124259714	0.001413088	0	0	0.001470348	0	0	0.004907975	0	0	0.008163599	0.010447853	0	0.009564417	0	0.003421268	0.000556237	0.004554192	0.00499182	0.027419223	0	0	0.005668712	0.003591002	0.025134969	0.001083845	0	0	0.000638037	0	0	0	0	0	0	0	0	0	0	0.014411043	0	0	0	0.002629857	0	0	0.000826176	0	0	0	0	0.022321063	0	0.00395501	0.011247444	0	0	0	0.005650307	0	0	0	0	0	0.137725971	0	0	0	0	0	0	0	0	0.110785276	0.000292434	0.006490798	0	0.008498978	0	0	0	0	0	0.005638037	0.001513292	0	0	0	0	0	0	0	0.001290389	0.000329243	0	0	0	0.00197955	0.006288344	0	0	0.006321063	0	0	0	0.00108998	0	0.002897751	0	0	0.033623722	0.026691207	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001184049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;Other	0	0	0.003541922	0	0	0	0	0	0	0	0	0	0.002678937	0	0	0	0	0	0	0	0	0	0	0	0	0.004674847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002282209	0	0.053114519	0	0	0	0	0	0	0.006026585	0	0	0	0	0	0	0	0	0.00805317	0	0	0.011666667	0.002899796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016572597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005055215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0	0	0.013944785	0.001648262	0	0	0	0	0	0	0	0	0.002691207	0	0	0	0	0	0	0	0	0	0.001533742	0	0.000683027	0.017646217	0.000664622	0	0	0	0	0.001664622	0	0	0	0.00203681	0.001685072	0	0	0	0	0	0	0	0	0.034175869	0	0.000854806	0	0.000535787	0	0	0	0	0	0	0.001543967	0.005212679	0	0.185948875	0	0	0	0	0	0	0.011204499	0.000411043	0.004503067	0	0.000658487	0	0	0	0	0.033662577	0	0	0.056321063	0	0	0	0	0	0	0	0	0	0	0	0.000730061	0	0.001184049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001989775	0.000593047	0	0	0	0.001247444	0.000642127	0	0	0	0	0	0	0	0	0	0	0	0	0.000558282	0	0.001476483	0	0	0.052253579	0.000390593	0	0	0	0	0	0	0	0	0.002462168	0	0	0	0	0	0	0	0	0	0.006728016	0.001100204	0.000754601	0	0	0	0	0	0.000476483	0	0	0	0	0	0	0	0	0	0.002539877	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034648262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044055215	0.037732106	0	0	0	0	0	0	0	0	0	0	0	0	0.031042945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013566462	0.003255624	0	0	0	0.007456033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039182	0	0	0	0	0	0	0	0.000478528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001355828	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83991411	0	0	0	0	0	0	0.082312883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588854806	0	0	0	0.016640082	0	0	0	0	0	0.037460123	0	0	0	0	0	0	0	0	0	0	0	0	0.922402863	0	0	0	0	0	0	0	0	0	0	0.018300613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124177914	0	0	0.009357873	0	0.013652352	0.014867076	0	0	0	0	0	0	0	0	0.002738241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011120654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099368098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047646217	0	0	0	0	0	0	0	0	0
