Taxon	0_0_1_Bulk	0_0_1_Rhizo	0_0_2_Bulk	0_0_2_Rhizo	0_0_3_Bulk	0_0_3_Rhizo	0_0_4_Bulk	0_0_4_Rhizo	0_0_5_Bulk	0_0_5_Rhizo	0_0_6_Bulk	0_0_6_Rhizo	0_CEN_1_Bulk	0_CEN_1_Rhizo	0_CEN_2_Bulk	0_CEN_2_Rhizo	0_CEN_3_Bulk	0_CEN_3_Rhizo	0_CEN_4_Bulk	0_CEN_4_Rhizo	0_CEN_5_Bulk	0_CEN_5_Rhizo	0_CEN_6_Bulk	0_CEN_6_Rhizo	0_CE_1_Bulk	0_CE_1_Rhizo	0_CE_2_Bulk	0_CE_2_Rhizo	0_CE_3_Bulk	0_CE_3_Rhizo	0_CE_4_Bulk	0_CE_4_Rhizo	0_CE_5_Bulk	0_CE_5_Rhizo	0_CE_6_Bulk	0_CE_6_Rhizo	0_CN_1_Bulk	0_CN_1_Rhizo	0_CN_2_Bulk	0_CN_2_Rhizo	0_CN_3_Bulk	0_CN_3_Rhizo	0_CN_4_Bulk	0_CN_4_Rhizo	0_CN_5_Bulk	0_CN_5_Rhizo	0_CN_6_Bulk	0_CN_6_Rhizo	0_C_1_Bulk	0_C_1_Rhizo	0_C_2_Bulk	0_C_2_Rhizo	0_C_3_Bulk	0_C_3_Rhizo	0_C_4_Bulk	0_C_4_Rhizo	0_C_5_Bulk	0_C_5_Rhizo	0_C_6_Bulk	0_C_6_Rhizo	0_EN_1_Bulk	0_EN_1_Rhizo	0_EN_2_Bulk	0_EN_2_Rhizo	0_EN_3_Bulk	0_EN_3_Rhizo	0_EN_4_Bulk	0_EN_4_Rhizo	0_EN_5_Bulk	0_EN_5_Rhizo	0_EN_6_Bulk	0_EN_6_Rhizo	0_E_1_Bulk	0_E_1_Rhizo	0_E_2_Bulk	0_E_2_Rhizo	0_E_3_Bulk	0_E_3_Rhizo	0_E_4_Bulk	0_E_4_Rhizo	0_E_5_Bulk	0_E_5_Rhizo	0_E_6_Bulk	0_E_6_Rhizo	0_N_1_Bulk	0_N_1_Rhizo	0_N_2_Bulk	0_N_2_Rhizo	0_N_3_Bulk	0_N_3_Rhizo	0_N_4_Bulk	0_N_4_Rhizo	0_N_5_Bulk	0_N_5_Rhizo	0_N_6_Bulk	0_N_6_Rhizo	PHE_0_1_Bulk	PHE_0_1_Rhizo	PHE_0_2_Bulk	PHE_0_2_Rhizo	PHE_0_3_Bulk	PHE_0_3_Rhizo	PHE_0_4_Bulk	PHE_0_4_Rhizo	PHE_0_5_Bulk	PHE_0_5_Rhizo	PHE_0_6_Bulk	PHE_0_6_Rhizo	PHE_CEN_1_Bulk	PHE_CEN_1_Rhizo	PHE_CEN_2_Bulk	PHE_CEN_2_Rhizo	PHE_CEN_3_Bulk	PHE_CEN_3_Rhizo	PHE_CEN_4_Bulk	PHE_CEN_5_Bulk	PHE_CEN_5_Rhizo	PHE_CEN_6_Bulk	PHE_CEN_6_Rhizo	PHE_CE_1_Bulk	PHE_CE_1_Rhizo	PHE_CE_2_Bulk	PHE_CE_2_Rhizo	PHE_CE_3_Bulk	PHE_CE_3_Rhizo	PHE_CE_4_Bulk	PHE_CE_4_Rhizo	PHE_CE_5_Bulk	PHE_CE_5_Rhizo	PHE_CE_6_Bulk	PHE_CE_6_Rhizo	PHE_CN_1_Bulk	PHE_CN_1_Rhizo	PHE_CN_2_Bulk	PHE_CN_2_Rhizo	PHE_CN_3_Bulk	PHE_CN_3_Rhizo	PHE_CN_4_Bulk	PHE_CN_4_Rhizo	PHE_CN_5_Bulk	PHE_CN_5_Rhizo	PHE_CN_6_Bulk	PHE_CN_6_Rhizo	PHE_C_1_Bulk	PHE_C_1_Rhizo	PHE_C_2_Bulk	PHE_C_2_Rhizo	PHE_C_3_Bulk	PHE_C_3_Rhizo	PHE_C_4_Bulk	PHE_C_4_Rhizo	PHE_C_5_Bulk	PHE_C_5_Rhizo	PHE_C_6_Bulk	PHE_C_6_Rhizo	PHE_EN_1_Bulk	PHE_EN_1_Rhizo	PHE_EN_2_Bulk	PHE_EN_2_Rhizo	PHE_EN_3_Bulk	PHE_EN_3_Rhizo	PHE_EN_4_Bulk	PHE_EN_4_Rhizo	PHE_EN_5_Bulk	PHE_EN_5_Rhizo	PHE_EN_6_Bulk	PHE_EN_6_Rhizo	PHE_E_1_Bulk	PHE_E_1_Rhizo	PHE_E_2_Bulk	PHE_E_2_Rhizo	PHE_E_3_Bulk	PHE_E_3_Rhizo	PHE_E_4_Bulk	PHE_E_4_Rhizo	PHE_E_5_Bulk	PHE_E_5_Rhizo	PHE_E_6_Bulk	PHE_E_6_Rhizo	PHE_N_1_Bulk	PHE_N_1_Rhizo	PHE_N_2_Bulk	PHE_N_2_Rhizo	PHE_N_3_Bulk	PHE_N_3_Rhizo	PHE_N_4_Bulk	PHE_N_4_Rhizo	PHE_N_5_Bulk	PHE_N_5_Rhizo	PHE_N_6_Bulk	PHE_N_6_Rhizo
k__Archaea;p__Crenarchaeota	0.007334016	0.007592213	0.005079918	0.023663934	0.005196721	0.003922131	0	0.002706967	0.004012295	0.001581967	0.001553279	0.003967213	0.001754098	0.003760246	0.004946721	0.005903689	0.002381148	0.001969262	0.003114754	0.003444672	0.005028689	0.002159836	0.00125	0.00455123	0.005331967	0.00270082	0.008114754	0.004643443	0.003518443	0.002768443	0.002491803	0.001688525	0.003413934	0.002014344	0.002520492	0.001338115	0.002375	0.005229508	0.002032787	0.002729508	0.002114754	0.004295082	0.002856557	0.006776639	0.000866803	0.002534836	0.001797131	0.00592623	0.000723361	0.002418033	0.001237705	0.006946721	0.003897541	0.002180328	0.012096311	0.002854508	0.001375	0.004186475	0.00264959	0.002481557	0.005040984	0.007247951	0.003368852	0.003534836	0.008864754	0.005252049	0.001188525	0.003633197	0.000461066	0.001047131	0.003329918	0.002893443	0.0035	0.001641393	0.003567623	0.005614754	0.000290984	0.006116803	0	0.00204918	0.001577869	0.00370082	0.005944672	0.00482582	0.005610656	0.003045082	0.006397541	0.008780738	0.004127049	0.004485656	0.003889344	0.001618852	0.002618852	0.003241803	0.007026639	0.004709016	0.004647541	0.005479508	0.001891393	0	0.005516393	0.007241803	0.002944672	0.003860656	0.006329918	0.008387295	0.003467213	0.002889344	0.003108607	0.002717213	0.024290984	0.000762295	0.004077869	0.004881148	0.003366803	0.013137295	0.009114754	0.013165984	0.000209016	0.003393443	0.00135041	0.003963115	0.00595082	0.002940574	0.003979508	0.002090164	0.006606557	0.003608607	0.003319672	0.006413934	0.003057377	0.002114754	0.005170082	0.002311475	0.004334016	0.00120082	0.006295082	0.002606557	0.007538934	0.020352459	0.007112705	0.008018443	0.005096311	0.013877049	0.007	0	0.007633197	0.002946721	0.00120082	0.01294877	0.004903689	0.041620902	0.007655738	0.001319672	0.012760246	0.008885246	0.007405738	0.008463115	0.002147541	0.002528689	0.005684426	0.003157787	0.003303279	0.007829918	0.012002049	0.003786885	0.003071721	0.007108607	0.005918033	0	0.007061475	0.005366803	0.020719262	0.010977459	0.002305328	0.004508197	0.004663934	0.004870902	0.010227459	0.006588115	0.003434426	0.003987705	0.00310041	0.012104508	0.005118852	0.001598361	0.004293033	0.002969262	0.007930328	0.008737705	0.001356557
k__Archaea;p__Euryarchaeota	0	0	0	0	0.000405738	0	0	0	0	0	0	0	0	0.000190574	0	0	0	5.74E-05	0	0	0	0	0	0	0.000346311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165984	0	0	0.000127049	0.00032377	0	0	0	0	0	0	0	0	0.000247951	0	0	0	0.000129098	0	0	0	0.000172131	0.001561475	7.79E-05	0	0	0.000247951	0	0.000188525	0	0.000172131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266393	0	0	0	0	0	0.000155738	0	0	0	0	0	0	0	0.000641393	0.000114754	0	0	0	0.00079918	0	0	0	0	0	0	0.000319672	0.000110656	0	0.000784836	0	0	0	0	0	0	0	0	0	0	0.000106557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000161885	0	0	0	0	0	0	0	0	0	0	0	0	0.00020082	0	0	0	0	0	0	0	0	0	0	0	0	0.000303279	0
k__Archaea;p__Halobacterota	0.00567418	0.001793033	0.005625	0.00172541	0.001778689	0.002047131	0.002784836	0.001286885	0.000834016	0.00079918	0.002786885	0.00589959	0.00505123	0.00255123	0.002153689	0.001227459	0.005110656	0.000911885	0	0.001336066	0.002747951	0.002235656	0.00145082	0.002030738	0.004807377	0.005403689	0.001663934	0.003118852	0.002366803	0.002856557	0.002680328	0.001581967	0.001508197	0.001334016	0.003938525	0.001135246	0.008297131	0.013762295	0.001459016	0.001	0.005588115	0.003813525	0.001096311	0.001391393	0.009420082	0.001737705	0.006215164	0.002358607	0.014604508	0.002104508	0.001530738	0.001729508	0.001247951	0.002559426	0.001020492	0.001526639	0.0035	0.001204918	0.002114754	0.001227459	0.001684426	0.005805328	0.004973361	0.003581967	0.001157787	0.00317623	0.046502049	0.000670082	0.001491803	0.000877049	0.002053279	0.001969262	0.00370082	0.008106557	0.005526639	0.002877049	0.004606557	0.002045082	0.007411885	0.008334016	0.002885246	0.004631148	0.001741803	0.002112705	0.012653689	0.003409836	0.00142623	0.00157377	0.002418033	0.009829918	0.001569672	0.005223361	0.000661885	0.00202459	0.001268443	0.005444672	0.002215164	0.001465164	0.002713115	0.030483607	0.002936475	0.001581967	0.002192623	0.002157787	0.001922131	0.001620902	0.002395492	0.004229508	0.004346311	0.003182377	0.005266393	0.000565574	0.00394877	0.001473361	0.001266393	0.006297131	0.006188525	0.003868852	0.001991803	0.001846311	0.001690574	0.001022541	0.001811475	0.00994877	0.005129098	0.008391393	0.004409836	0.006278689	0.029596311	0.001936475	0.002153689	0	0.002596311	0.002012295	0.00179918	0.040063525	0.00232377	0.000493852	0.026057377	0.003956967	0.007395492	0.002678279	0.00430123	0.002588115	0.000694672	0.00144877	0.002010246	0.004079918	0.019768443	0.002506148	0.002608607	0.004118852	0.001254098	0.000995902	0.006456967	0.001313525	0.003809426	0.013920082	0.000776639	0.001606557	0.001295082	0.000315574	0.000727459	0.004069672	0.007436475	0.003483607	0.001329918	0.003657787	0.001543033	0.002319672	0.000608607	0.003887295	0.001168033	0.007485656	0.011364754	0.001104508	0.009372951	0.003344262	0.003836066	0.003375	0.004803279	0.001721311	0.002633197	0.003565574	0.002215164	0.01089959	0.001196721	0.002780738	0.004344262	0.006614754	0.01017623
k__Archaea;p__Nanoarchaeota	0.000567623	4.51E-05	0.001471311	0.000102459	0.000577869	0	0	0.000918033	0.000434426	0	0.00032377	0.00047541	0	0	0.000215164	0.00069877	0	0	0	0	0.000768443	0	0	0	0.000151639	0	0	0	0	0	0.000370902	0	0.000286885	0.000272541	0.00020082	0	0	0	0	0	0.001122951	0.000182377	0.00082377	0	7.17E-05	0	0	0.000204918	0.000114754	0	0	0	0	0	0.000397541	0	0	0	0.000110656	0	0.000696721	0	0	0	0	0	0	0	0	0	0.000354508	0	0.000165984	0.000647541	0.000223361	0	0.000114754	0.000651639	0	0.000290984	0.000571721	0.000192623	0.000756148	0	0	0	0	0	0	0	7.79E-05	0.00029918	0.000329918	0.000379098	0	0	0	0	0	0	0	0	0.000186475	0	0	0	0.000284836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000354508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042623	0.000434426	0.000735656	0	0.000204918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020082	0	0	0	0.000106557	0	0	0	0	0	0	0	0.00010041	0	0.000270492	0	0	0	0	0	0	0	0	0
k__Archaea;p__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000303279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000190574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40E-05	0.000159836	0	0	0	0	0	0	0	7.38E-05	0.000290984	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010041	0	0
k__Bacteria;Other	0.000784836	0.000452869	0.000456967	0.001112705	0.000622951	0.000569672	0.000247951	0.000188525	0.000237705	0.000145492	0.000334016	0.000985656	0	0.001016393	0.000192623	0.000579918	0.001461066	0.000489754	0.001202869	0.002829918	0.000432377	0.000663934	0	0.001211066	0.000834016	0.00117623	0.000848361	0.006252049	0.000655738	0.000385246	0.000202869	0	0.000471311	0.000168033	0.000112705	0.000153689	0.000342213	0.001829918	0.000811475	0.000817623	0.003893443	0.000817623	0.004278689	0.000231557	0.001848361	0.00247541	0.000393443	0.001643443	0.000391393	0.000194672	0.000518443	0.000266393	0	0.003813525	0.001245902	0	0.000272541	0.001743852	0.001723361	0.001071721	0.001137295	0.001557377	0.000147541	0.001909836	0.000897541	0.012579918	0.000788934	0.007881148	0	0.00055123	0.001338115	0.000284836	0.000284836	0.000760246	0.001616803	0.000252049	0	0.000188525	0.000295082	0.000354508	0.001901639	0	0.002717213	0.000657787	0.000938525	0.002577869	0.004930328	0.004508197	0	0.000354508	0.000231557	0.000340164	0	0.001377049	0.001018443	0.000608607	0.002084016	0.001377049	0.003483607	0.001639344	0.000473361	0.000495902	0.002569672	0.003342213	0	0.000407787	0.00032582	0.001245902	0.001202869	0.000393443	0.004665984	0.000280738	0.000284836	0.000415984	0.003741803	0.000163934	0.000569672	0.000991803	0.000887295	0.000819672	0.000346311	0.000452869	0.003252049	0	0.000875	0.00142418	0.001237705	0.000229508	0.001817623	0.000231557	0.00314959	0.000352459	0.001764344	0	0.001094262	0.002327869	0.00107377	0	0.004118852	0.000766393	0.002553279	0.000735656	0.004959016	0.001608607	0.007110656	0.008231557	0.001045082	0.001241803	0.001120902	0.000969262	0	0.000252049	0.000342213	0.000118852	0.00042418	0.001956967	0.001655738	0.00202459	0.001157787	0.001106557	0.000836066	0	0.006704918	0.002522541	0.000506148	0.001139344	0.001155738	0.00154918	0.000784836	0.000487705	0.000262295	0	0.000881148	0.001598361	0.001397541	0.000145492	0.001608607	0.00067623	0.000629098	0.00079918	0.000991803	0.00294877	0.004159836	0.000211066	0	0.002614754	0.008141393	0.002219262	0.002848361	0.000807377	0.001877049
k__Bacteria;p__Abditibacteriota	0	0.000272541	0.000893443	0.000237705	0	0.00125	0	0	0.000651639	0	0.001040984	0.000190574	0	0.00060041	0	0	0	0.00144877	0	0.000247951	0.000381148	0	0.00025	0.000844262	0.000307377	0	0.00092418	0.000614754	0.000936475	0.000413934	0	0.000272541	0	0	0	0	0.000116803	0	0.00129918	0	0	0.000752049	0	0.000379098	0.00027459	0.000334016	0	0.000581967	0	0.000444672	0.000385246	0.000282787	0.000284836	0.000258197	0	0.000157787	0	0	0.001936475	0.000293033	0	0.000153689	0.000221311	0.000331967	0	0.000147541	0	0	0.000206967	0.000389344	0.000108607	0	0	0	0.000489754	0.000272541	0.000592213	0.000204918	0.000165984	0	0	0.000239754	0.000133197	0	0.001008197	0.00130123	0.000389344	0	0.006403689	0.000331967	0	0	0	0	0.001336066	0.000116803	0.000321721	0.001159836	0	0	0.002813525	0.000116803	0.000497951	7.58E-05	0.000561475	0	0	0	0.000387295	0.000420082	0.000211066	0	0.000372951	0	0.00019877	0	0.00010041	0.000170082	0	0.000211066	0	0.000204918	0.00032582	0.000135246	0.000831967	0	0.000159836	0	0.000122951	0.000827869	0	0.000282787	0	0	0.000196721	0	0.000965164	0	0	0	0	0	0	0.001811475	0	0	0.000170082	0.001860656	0.000377049	0.000270492	5.53E-05	0	0.000344262	0.000741803	6.56E-05	0.00017418	0	0	0	0	0.000245902	0	0	0	0	7.99E-05	0	0	0.000297131	0	0	0.001872951	0.00052459	0.000313525	0	0	0	0	0	0.000116803	0.000354508	0	0	0.000741803	0	0	0.000397541	0	0.000786885	0	0
k__Bacteria;p__Acidobacteriota	0.025641393	0.018436475	0.032795082	0.031112705	0.027204918	0.018352459	0.022180328	0.028254098	0.024563525	0.029530738	0.020102459	0.025793033	0.013940574	0.025471311	0.030502049	0.020862705	0.00932377	0.021084016	0.020733607	0.029231557	0.034340164	0.017061475	0.018401639	0.020915984	0.023743852	0.018364754	0.029358607	0.027942623	0.020202869	0.016110656	0.030258197	0.029368852	0.032766393	0.025918033	0.018192623	0.010229508	0.024733607	0.034571721	0.00939959	0.018635246	0.026186475	0.033463115	0.038793033	0.034014344	0.015788934	0.033012295	0.026526639	0.028010246	0.005090164	0.015723361	0.016997951	0.016311475	0.010405738	0.015147541	0.01505123	0.02107377	0.02879918	0.024504098	0.014889344	0.022276639	0.027561475	0.058967213	0.021139344	0.032704918	0.018903689	0.019436475	0.00675	0.036413934	0.021223361	0.015737705	0.02702459	0.033151639	0.034438525	0.026194672	0.030668033	0.034284836	0.032625	0.021006148	0.015803279	0.023616803	0.017006148	0.026311475	0.035610656	0.021739754	0.017688525	0.019032787	0.01795082	0.036366803	0.008313525	0.017538934	0.02494877	0.022635246	0.020608607	0.023905738	0.02014959	0.021596311	0.045961066	0.042622951	0.062372951	0.019803279	0.037487705	0.043883197	0.029590164	0.037940574	0.027856557	0.024889344	0.025141393	0.018760246	0.026	0.034389344	0.032840164	0.009440574	0.035178279	0.053598361	0.035428279	0.028727459	0.030655738	0.021577869	0.019856557	0.038690574	0.038723361	0.028696721	0.029868852	0.049221311	0.022504098	0.01467418	0.038137295	0.030618852	0.039440574	0.014668033	0.014012295	0.03052459	0.045754098	0.042709016	0.03714959	0.020536885	0.044909836	0.01470082	0.015922131	0.031270492	0.022776639	0.025809426	0.025020492	0.04160041	0.040313525	0.033295082	0.043079918	0.045	0.030936475	0.033637295	0.039321721	0.020307377	0.01247541	0.028739754	0.014641393	0.038342213	0.038008197	0.037506148	0.011653689	0.022010246	0.027887295	0.013614754	0.045768443	0.03714959	0.031889344	0.02267623	0.02204918	0.045120902	0.043409836	0.038243852	0.022930328	0.026932377	0.021465164	0.032903689	0.02797541	0.020592213	0.033077869	0.015797131	0.02655123	0.035290984	0.025280738	0.050581967	0.049655738	0.027557377	0.034766393	0.015911885	0.048434426	0.018961066	0.036553279	0.012293033	0.01079918
k__Bacteria;p__Actinobacteriota	0.057079918	0.074977459	0.089934426	0.08127459	0.098920082	0.088295082	0.082528689	0.045772541	0.113465164	0.056909836	0.168393443	0.036393443	0.151266393	0.075829918	0.183286885	0.094627049	0.077645492	0.052928279	0.152645492	0.045088115	0.056747951	0.045620902	0.093534836	0.063077869	0.057422131	0.06102459	0.105692623	0.070081967	0.119161885	0.115321721	0.064461066	0.049280738	0.163114754	0.033651639	0.131766393	0.070221311	0.03717418	0.045184426	0.131487705	0.062893443	0.136379098	0.09204918	0.11707377	0.084071721	0.088508197	0.061213115	0.08807377	0.050354508	0.039241803	0.079086066	0.161604508	0.102930328	0.06202459	0.080395492	0.077432377	0.022157787	0.103262295	0.061627049	0.072331967	0.028834016	0.093604508	0.060616803	0.103194672	0.077313525	0.100213115	0.085229508	0.057018443	0.066670082	0.087530738	0.037866803	0.105221311	0.063889344	0.055303279	0.049961066	0.106918033	0.082340164	0.083860656	0.110415984	0.046977459	0.027694672	0.107872951	0.050413934	0.057053279	0.052305328	0.048756148	0.071784836	0.075561475	0.089678279	0.154776639	0.12257377	0.100260246	0.118811475	0.09267418	0.113483607	0.098383197	0.046077869	0.039905738	0.046606557	0.055852459	0.068338115	0.088739754	0.064020492	0.116555328	0.022653689	0.131032787	0.034803279	0.065991803	0.025973361	0.032864754	0.048006148	0.057868852	0.107153689	0.128897541	0.057391393	0.06635041	0.069288934	0.039860656	0.097694672	0.094918033	0.063293033	0.020995902	0.099032787	0.047534836	0.046370902	0.030747951	0.035313525	0.046477459	0.11154918	0.066772541	0.070411885	0.044946721	0.123715164	0.042395492	0.05405123	0.050209016	0.045213115	0.063895492	0.08057377	0.070506148	0.074838115	0.021887295	0.061067623	0.031110656	0.056409836	0.062655738	0.037977459	0.075237705	0.056647541	0.071858607	0.054663934	0.016239754	0.068290984	0.037055328	0.057368852	0.076616803	0.034659836	0.061172131	0.05167418	0.129438525	0.243522541	0.068221311	0.091518443	0.024987705	0.077588115	0.06332377	0.157137295	0.128389344	0.036170082	0.086688525	0.104415984	0.063643443	0.084875	0.04785041	0.036860656	0.027696721	0.088282787	0.037934426	0.104286885	0.059653689	0.033879098	0.062180328	0.04964959	0.055776639	0.040543033	0.06225	0.028276639	0.034407787	0.071641393	0.043295082	0.117848361	0.034891393
k__Bacteria;p__Armatimonadota	0.005004098	0.00457582	0.007883197	0.005762295	0.00852459	0.009985656	0.002178279	0.002557377	0.003885246	0.001434426	0.00725	0.005485656	0.000422131	0.003088115	0.001129098	0.003053279	0.009737705	0.004979508	0.003502049	0.001684426	0.005754098	0.002778689	0.003694672	0.014327869	0.004797131	0.002264344	0.005747951	0.005760246	0.014743852	0.007143443	0.00329918	0.003875	0.003127049	0.004305328	0.00307377	0.001610656	0.006930328	0.004729508	0.00252459	0.001118852	0.00560041	0.005889344	0.001057377	0.002018443	0.000559426	0.003682377	0.004682377	0.003815574	0.001413934	0.004352459	0.001844262	0.004239754	0.002438525	0.001627049	0.00072541	0.004680328	0.001077869	0.002635246	0.015594262	0.007811475	0.005206967	0.00872541	0.003266393	0.004172131	0.005678279	0.004065574	0.003895492	0.005278689	0.001430328	0.002784836	0.003348361	0.00429918	0.004309426	0.001719262	0.00892623	0.005692623	0.01372541	0.005782787	0.001967213	0.002612705	0.002465164	0.006311475	0.003907787	0.00155123	0.002446721	0.005930328	0.008247951	0.001747951	0.005563525	0.00497541	0.004397541	0.004543033	0.003102459	0.002055328	0.006403689	0.003334016	0.008053279	0.009245902	0.008452869	0.003213115	0.006047131	0.004959016	0.004618852	0.001893443	0.012807377	0.002358607	0.00547541	0.003331967	0.005594262	0.003514344	0.002940574	0.002098361	0.002352459	0.003788934	0.00279918	0.002165984	0.002553279	0.005706967	0.004032787	0.007563525	0.005522541	0.006381148	0.004770492	0.008317623	0.006885246	0.010696721	0.003508197	0.000952869	0.003081967	0.006514344	0.002479508	0.004479508	0.008178279	0.003911885	0.008219262	0.003565574	0.005684426	0.000235656	0.000747951	0.001932377	0.001422131	0.003014344	0.001459016	0.007471311	0.006375	0.003446721	0.003526639	0.007081967	0.003415984	0.010418033	0.001411885	0.00347541	0.00280123	0.003643443	0.000194672	0.005372951	0.005741803	0.003782787	0.002903689	0.00854918	0.005381148	0.000786885	0.001840164	0.003065574	0.001879098	0.002514344	0.004534836	0.00675	0.005063525	0.005217213	0.005278689	0.009803279	0.010002049	0.00667623	0.002770492	0.00432377	0.001215164	0.005266393	0.002125	0.007366803	0.007956967	0.009434426	0.002653689	0.004237705	0.005395492	0.00177459	0.000463115	0.006002049	0.00417418	0.004206967	0.003141393
k__Bacteria;p__Bacteroidota	0.157276639	0.150401639	0.120381148	0.130809426	0.131526639	0.166875	0.103932377	0.096086066	0.131485656	0.083295082	0.12304918	0.159784836	0.096506148	0.157020492	0.081723361	0.126815574	0.171584016	0.185678279	0.135102459	0.090944672	0.112610656	0.054497951	0.201862705	0.142768443	0.181303279	0.214319672	0.195797131	0.161106557	0.18447541	0.155538934	0.107538934	0.118586066	0.079247951	0.093077869	0.16367418	0.060491803	0.21242418	0.120713115	0.185735656	0.150229508	0.120389344	0.126579918	0.109385246	0.151463115	0.09052459	0.141059426	0.129077869	0.152567623	0.298793033	0.140946721	0.175008197	0.13210041	0.249352459	0.143383197	0.079266393	0.126934426	0.078321721	0.093768443	0.202602459	0.096319672	0.168993852	0.050786885	0.13595082	0.158577869	0.143967213	0.108186475	0.129145492	0.074497951	0.132223361	0.062432377	0.11277459	0.146776639	0.166317623	0.192133197	0.137143443	0.167012295	0.174358607	0.177258197	0.143502049	0.085336066	0.092526639	0.123743852	0.146686475	0.070897541	0.14652459	0.138768443	0.122342213	0.093534836	0.176112705	0.111184426	0.086311475	0.070772541	0.09157377	0.058420082	0.179114754	0.151016393	0.084170082	0.138088115	0.046846311	0.054477459	0.112168033	0.117403689	0.091088115	0.047104508	0.114469262	0.078077869	0.10244877	0.095227459	0.046840164	0.101487705	0.083731557	0.137186475	0.102430328	0.100135246	0.072114754	0.11892418	0.190653689	0.095563525	0.102803279	0.091805328	0.110514344	0.111045082	0.12554918	0.061897541	0.113444672	0.050280738	0.054331967	0.098336066	0.076565574	0.127034836	0.095096311	0.074389344	0.108942623	0.056215164	0.104147541	0.029561475	0.083653689	0.042342213	0.034854508	0.064375	0.065454918	0.074905738	0.072334016	0.101866803	0.081420082	0.104379098	0.108735656	0.064227459	0.063159836	0.090692623	0.064885246	0.057118852	0.053305328	0.110901639	0.094633197	0.075961066	0.092481557	0.063469262	0.152366803	0.141844262	0.126026639	0.155733607	0.037557377	0.120532787	0.087784836	0.090321721	0.077133197	0.082071721	0.062840164	0.048061475	0.070721311	0.1135	0.145252049	0.082241803	0.06579918	0.077864754	0.047782787	0.203079918	0.07372541	0.107381148	0.112790984	0.051739754	0.067532787	0.094557377	0.063491803	0.134739754	0.061461066	0.101629098	0.057045082	0.115827869	0.093622951
